Name;Nennleistung [MVA];U1 [kV];U2 [kV];Anlagenname;Überlagertes Netz;Max. Auslastung [%];0-10%;10-20%;20-30%;30-40%;40-50%;50-60%;60-70%;70-80%;80-90%;90-100%;100-110%;110-120%;>120%
MS-NS Trafo - 1271 - 48479755;0,4;20;0,4;303S130;300W100 UW Rankackerweg 30X_1;107,93;450;6892;4492;7854;7428;4290;2170;974;393;80;17;0;0
MS-NS Trafo - 1944 - 48481528;1;20;0,4;303S160;300W100 UW Rankackerweg 30X_1;70,53;15248;250;0;0;0;194;19112;236;0;0;0;0;0
MS-NS Trafo - 1201 - 48480429;0,4;20;0,4;303S133;300W100 UW Rankackerweg 30X_1;63,6;1018;14165;7931;4853;5233;1835;5;0;0;0;0;0;0
MS-NS Trafo - 1929 - 48138411;0,63;20;0,4;302S175;300W100 UW Rankackerweg 30X_1;61,35;6460;6710;14114;5915;1655;183;3;0;0;0;0;0;0
MS-NS Trafo - 911 - 48452132;0,63;20;0,4;303S120;300W100 UW Rankackerweg 30X_1;58,54;7142;11927;11456;3720;746;49;0;0;0;0;0;0;0
MS-NS Trafo - 1930 - 48452768;0,63;20;0,4;303S115;300W100 UW Rankackerweg 30X_1;57,31;6370;7605;15427;4734;850;54;0;0;0;0;0;0;0
MS-NS Trafo - 1893 - 48482202;0,4;20;0,4;303S165;300W100 UW Rankackerweg 30X_1;51,79;10653;15830;6983;1457;114;3;0;0;0;0;0;0;0
MS-NS Trafo - 2024 - 48136122;0,63;20;0,4;302S187;300W100 UW Rankackerweg 30X_1;46,21;8766;17343;7928;978;25;0;0;0;0;0;0;0;0
MS-NS Trafo - 1208 - 48479452;0,4;20;0,4;303S145;300W100 UW Rankackerweg 30X_1;44,51;10889;18592;5160;394;5;0;0;0;0;0;0;0;0
MS-NS Trafo - 1209 - 48481097;0,4;20;0,4;303S113;300W100 UW Rankackerweg 30X_1;43,11;13210;17488;4037;303;2;0;0;0;0;0;0;0;0
MS-NS Trafo - 1212 - 48482722;0,4;20;0,4;303S150;300W100 UW Rankackerweg 30X_1;36,21;11314;17061;6568;97;0;0;0;0;0;0;0;0;0
MS-NS Trafo - 353 - 48135810;0,5;20;0,4;302S185;300W100 UW Rankackerweg 30X_1;31,64;30376;4570;93;1;0;0;0;0;0;0;0;0;0
MS-NS Trafo - 1896 - 48136707;0,63;20;0,4;302S190;300W100 UW Rankackerweg 30X_1;29,4;19873;14496;671;0;0;0;0;0;0;0;0;0;0
MS-NS Trafo - 1921 - 64478021;0,63;20;0,4;303S155;300W100 UW Rankackerweg 30X_1;28,67;18639;15798;603;0;0;0;0;0;0;0;0;0;0
